Type,Use,Find,Notes
activity,4wding,4.?wd,
activity,4wding,4.?wheel.?drive,
activity,4wding,four.?wheel.?drive,
activity,4wding,awd,
activity,4wding,all.?wheel.?drive,
activity,boating,boat,
activity,boating,sail,
activity,campfire,camp.?fire,
activity,campfire,fire.?wood,
activity,camping,tent,
activity,camping,camp,
activity,caving,caving,
activity,caving,speleology,
activity,cycling,\\bbike\\b,
activity,cycling,biked,
activity,cycling,biking,
activity,cycling,cycle,
activity,cycling,cycling,
activity,cycling,mountain.?biking,
activity,cycling,mountain.?bike,
activity,cycling,mtb,
activity,diving,\\bdive\\b,
activity,diving,dived,
activity,diving,diving,
activity,diving,scuba,
activity,dog,(?s)^(?=.*dog)(?=.*walk)(?!=.*fence), (- fence) *is it possible to search dog without nearby references to fence? Otherwise results might be skewed by references to the dog fence at Breakaways CP.
wildlife,dolphin,(?s)^(?=.*dolphin)(?=.*watch),
wildlife,dolphin,(?s)^(?=.*dolphin)(?=.*view),
activity,fish,fish,
activity,geocaching,geo.?cach,
activity,horse riding,horse.?riding,
activity,kayaking,canoe,
activity,kayaking,kayak,
activity,kayaking,kyak,
activity,orienteering,orienteer,
activity,rock climbing,rock.?climb,
activity,rock climbing,abseil,
activity,snorkelling,snorkel,
activity,surfing,surf,
activity,swimming,swam,
activity,swimming,swum,
activity,swimming,swim,
activity,tennis,tennis,
activity,tour,tour,
activity,walking,bush.?walk,
activity,walking,hike,
activity,walking,hiked,
activity,walking,hiking,
activity,walking,walk,
activity,waterskiing,water.?ski,
wildlife,whale,(?s)^(?=.*whale)(?=.*watch),
wildlife,whale,(?s)^(?=.*whale)(?=.*view),
facility,bbq,barbecue,
facility,bbq,barbeque,
facility,bbq,barbie,
facility,bbq,bbq,
facility,campsite,camp.?site,
facility,carpark,car.?park,
facility,carpark,parked,
facility,phone coverage,mobile.?coverage,
facility,phone coverage,phone.?coverage,
facility,phone coverage,phone.?reception,
facility,phone coverage,mobile.?reception,
facility,picnic,picnic,
facility,playground,play.?ground,
facility,public transport,bus,
facility,public transport,public transport,
facility,public transport,train,
facility,road,road,
facility,shower,shower,
facility,sign,sign,
facility,toilet,toilet,
facility,tracks,track,
facility,tracks,trail,
facility,water,drinking.?water,
facility,water,tap.?water,
facility,website,parks\\.sa\\.gov\\.au,
facility,website,web.?site,
other,book online,book.?online,
other,book online,online.?booking,
other,fees,fees,
other,free,free,
other,free entry,free entry,
other,permit,permit,
wildlife,wildlife,animal,
wildlife,koala,koala,
wildlife,kangaroo,kangaroo.!?island,
wildlife,emu,emu,
wildlife,wallaby,wallab,
wildlife,whale,whale,
wildlife,dolphin,dolphin,
wildlife,echidna,echidna,
wildlife,wombat,wombat,
wildlife,shark,shark,
wildlife,lizard,lizard,
wildlife,snake,snake,
wildlife,spider,spider,
wildlife,galah,galah,
wildlife,fur seal,fur.?seal,
wildlife,sea lion,sea.?lion,
wildlife,platypus,platypus,
activity,birding,bird.?watching,
activity,birding,bird.?ing,
activity,birding,\\bbird\\b,
activity,birding,twitch,
wildlife,penguin,penguin,
wildlife,cockatoo,cockatoo,
wildlife,wildlife,wild.?life,
wildlife,pelican,pelican,
wildlife,bird,wader,
wildlife,bird,\\bbird\\b,
wildlife,wildlife,deer,
wildlife,turtle,turtle,
wildlife,bird,duck,
wildlife,bird,swan,
wildlife,fish,fish,
wildlife,malleefowl,malleefowl,
wildlife,wildlife,fauna,
wildlife,kangaroo,kangeroo,
activity,kayaking,canoing,
